Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
Q9JK53,Prelp,0.95107060781312,0.00380440172596857,0,0.0103834050362725,0.0205573581480503,0.0141842272765888,Prelp
Q9JK81,Myg1,0.794112552318727,0,0,0.0592972693057737,0,0.1465901783755,Myg1
Q9JKB1,Uchl3,0.919636415430926,0.0118171699130179,0,0.000104982385027741,0.0198808772114255,0.0485605550596029,Uchl3
Q9JKB3,Ybx3,0.819279705039043,0,0.021495290199056,0,0,0.159225004761901,Ybx3
Q9JKC6,Cend1,0.816957244517583,0.00917410558677987,0,0.0420259242677999,2.03938963107855e-07,0.131842521688874,Cend1
Q9JKC7,Ap4m1,0.112469409717359,0,0,0,0,0.887530590282641,Ap4m1
Q9JKC8,Ap3m1,0.930747503617815,0.008953696329025,0,0,0.0262984218052652,0.0340003782478944,Ap3m1
Q9JKD3,Scamp5,0.777329667447383,0,0,9.17981204503131e-10,0.113098451517825,0.109571880116811,Scamp5
Q9JKF1,Iqgap1,0.852079563568071,0,0,0.00213894166675542,0.0165495345367771,0.129231960228397,Iqgap1
Q9JKF6,Nectin1,0.915574478899468,0,0,0,1.70785011472383e-11,0.0844255210834538,Nectin1
Q9JKF7,Mrpl39,0.970821698241994,0,0.00406993751510163,0.00596955530338177,0.00318177093580061,0.0159570380037215,Mrpl39
Q9JKK0,Rcan3,0.68708311140205,0,0,0,0,0.312916888597951,Rcan3
Q9JKK1,Stx6,0.967519848535035,1.72121800129557e-11,0.00645696372994893,1.58956819886187e-10,0.0059009331011621,0.0201222544576847,Stx6
Q9JKK7,Tmod2,0.768453252490302,0,0.0122136940247109,0,0.0276411235106053,0.191691929974382,Tmod2
Q9JKL4,Ndufaf3,0.939540421715783,0,0,0.008503935081444,0,0.0519556432027731,Ndufaf3
Q9JKL5,Tesc,0.923463410572409,0.00907006872113574,0,0,0.0266624359746933,0.0408040847317616,Tesc
Q9JKM7,Rab37,0.617137753914488,0,0.159221051711038,0.114834998643996,0.0185731100831076,0.0902330856473705,Rab37
Q9JKN1,Slc30a7,0.763884886803855,0,0,1.31874886139858e-09,0,0.236115111877396,Slc30a7
Q9JKN6,Nova1,0.991629951257425,0,0.00149953119012233,0,0.00170861065091796,0.005161906901535,Nova1
Q9JKP5,Mbnl1,0.988673016553638,0,0.00014904407060619,0.00465789336633205,0,0.00652004600942322,Mbnl1
Q9JKR6,Hyou1,0.951156316249944,0.00626051948212875,0.0229430308112306,3.70499579758892e-10,0.00598147854661098,0.0136586545395863,Hyou1
Q9JKS4,Ldb3,0.667021135853545,3.47719671444118e-10,0,0.0531811748953831,0.0984710034563251,0.181326685447027,Ldb3
Q9JKS5,Habp4,0.992638666141527,2.84366744639042e-10,1.18243445039662e-10,0,0.000974192616175704,0.0063871408396869,Habp4
Q9JKV1,Adrm1,0.98855573418961,0,0.00133876579550142,0.00569027122851005,4.10179331818589e-12,0.0044152287822767,Adrm1
Q9JKV5,Scamp4,0.781608272912667,8.44404281300341e-11,4.9268961511434e-06,0,0.103633930635748,0.114752869470994,Scamp4
Q9JKW0,Arl6ip1,0.904491990618011,0.00427612933302641,0.00395048286384751,0,0.0040838063794475,0.0831975908056673,Arl6ip1
Q9JKX4,Aatf,0.906892046632677,0,0,0.0146189374905088,0.00153050747293339,0.0769585084038811,Aatf
Q9JKX6,Nudt5,0.861705855876677,0,0.00313262569913323,0.0241999782806424,1.91116383631297e-11,0.110961540124436,Nudt5
