Protein,Symbol,Entrez,Mixture,Genotype,BioFraction,Residuals,R2.fixef,R2.total
A2ANU3,Syndig1,433485,0.00397971539508059,0.0131138795461482,0.930926649017952,0.051979756040819,0.943571460790923,0.947365776279796
Q5DTL9,Slc4a10,94229,0.00190642708466762,0.0131064908854139,0.971079850995783,0.0139072310341349,0.983562663932437,0.985383653383805
Q8VE99,Ccdc115,69668,0,0.0131055511504163,0.35713129633123,0.629763152518354,0.411300501025589,0.411300501025589
Q9CQ88,Tspan31,67125,0.0625882650852091,0.013095190602714,0.795064025498632,0.129252518813445,0.796003250073316,0.860401414629574
Q61475,Cd55,13136,0.0101415620894711,0.0130931310752251,0.884679521347817,0.0920857854874874,0.888707671643463,0.897768930107579
Q8BHD7,Ptbp3,230257,0.0683028745503092,0.0130864181766648,0.747955970666773,0.170654736606253,0.748372662486082,0.818523950522825
Q3U7R1,Esyt1,23943,0.03635655555738,0.013078506236306,0.902031524552885,0.0485334136534294,0.915380542162264,0.952900894714449
Q8C9H6,Strip2,320609,0.0102880856324071,0.0130022643929041,0.94175285594873,0.034956794025959,0.95236398582182,0.962387303675984
Q9DCT1,Akr1e1,56043,0.175292852065745,0.0129614161842045,0.648267884228671,0.163477847521379,0.654779883734886,0.855004766852828
Q9R0K7,Atp2b2,11941,0.0218422966052607,0.012918986697916,0.949874583921527,0.0153641327752958,0.961045443754365,0.98311378886997
Q9CS84,Nrxn1,18189,3.51670984132121e-10,0.0129161300351859,0.974633723714216,0.0124501458989269,0.986489832302374,0.986489832302374
P02802,Mt1,17748,3.82843822300561e-08,0.0129019285744427,0.193709931803358,0.793388101337817,0.425502205811119,0.432770776329995
Q80U87,Usp8,84092,0.00103198590895996,0.0129004519177692,0.967710198052824,0.0183573641204465,0.979107711572177,0.97998657170347
O88741,Gdap1,14545,0.00527948793814201,0.0128844627445556,0.939111889514927,0.0427241598023759,0.948381912611694,0.953249428219036
Q8CHH9,Septin8,20362,0.00330723183325639,0.0128821723300544,0.973963454154388,0.00984714168230076,0.987549438375634,0.990872002182672
Q9QZC2,Plxnc1,54712,0.00873514242517642,0.0128713921306782,0.938474533354236,0.0399189320899092,0.948532477041221,0.956933422975456
Q9WTQ5,Akap12,83397,0.0633178317924866,0.0128686010766962,0.830611781577776,0.0932017855530416,0.834151490273533,0.900179151936523
Q99LI8,Hgs,15239,0.000342737026683997,0.0128352896020657,0.968189899579391,0.0186320737918594,0.979535614850235,0.979734781784666
Q6P1H6,Ankle2,71782,1.05253560595374e-10,0.012826791497699,0.912749628474693,0.074423579922354,0.923908335907832,0.923908335907832
O08600,Endog,13804,0.0614046267109849,0.0128226458697426,0.80604061172293,0.119732115696342,0.803126928831685,0.865872667694791
Q8BMA6,Srp68,217337,0.0237906905161672,0.0127502027529037,0.900432212647941,0.0630268940829879,0.907550640201194,0.931054648118709
P60761,Nrgn,64011,0.0617754192564719,0.0127354345681842,0.749969567223162,0.175519578952182,0.780887959514685,0.84686126614191
Q61133,Gstt2,14872,0.0292894135440177,0.0127303090325339,0.569284248719484,0.388696028703964,0.592025767136984,0.619018191243202
O54965,Rnf13,24017,0.0244469071986239,0.0127270948578045,0.944472196883923,0.0183538010596491,0.954156710633907,0.978836844011658
