protein,Symbol,Entrez,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,R2m,R2c,FDR
P62482,Kcnab2,16498,Mutant-Control,-0.079481164326106,0.946397938135171,0.00716310135882561,-2.86155420582527,0.0277755228834408,34.0000808512783,0.0165839092582095,0.91696392445388,0.0718074957956475
Q9WU60,Atrn,11990,Mutant-Control,0.101678875271214,1.07302141951295,0.00721049502751471,2.85894990530732,0.0355651125899265,34.0001328546823,0.00933650237995528,0.953166676580459,0.0721779943637037
Q9DCS2,Mettl26,68347,Mutant-Control,-0.0853558089714213,0.942552047537768,0.00723694259460432,-2.8575043632749,0.0298707536787791,34.0000127722782,0.00670516174060564,0.966331845567803,0.0723380519174539
Q6GQT5,Tmem151a,381199,Mutant-Control,-0.200282418917197,0.870380162845895,0.00726810684942098,-2.85580658587838,0.0701316468375586,34.0000166426046,0.0446437155531642,0.775567055420121,0.072544725941479
Q9JKK1,Stx6,58244,Mutant-Control,-0.0874738720001824,0.941169274443367,0.00729689733419671,-2.85424537818971,0.0306469347970573,33.999794994973,0.00430255393711621,0.978346526781977,0.072660990710854
Q8BUY8,Gprasp2,245607,Mutant-Control,0.096104042914547,1.06888307312862,0.00730076457193054,2.85403422240974,0.0336730520467984,34.0001196932051,0.00583232878282815,0.970643281921071,0.072660990710854
O08688,Capn5,12337,Mutant-Control,0.0714870710652269,1.05079924649902,0.00733114811214835,2.85239441742032,0.0250621269725662,33.999749433582,0.00385841870369956,0.980556517421819,0.0728585509938651
Q91WP6,Serpina3n,20716,Mutant-Control,0.393070357025881,1.31318516498011,0.00735762422284936,2.8509676178297,0.137872613693559,34.0000032836224,0.111354239593531,0.438297904151028,0.0730167672158523
G3X982,Aox3,71724,Mutant-Control,0.293594156026283,1.22569001317622,0.00737362061958295,2.98167698194122,0.0984661174917542,20.0000035547019,0.0657303150543041,0.800378050409365,0.073070678833317
Q8CC35,Synpo,104027,Mutant-Control,0.0988743618974928,1.07093755578741,0.00743673068471682,2.84673680952658,0.034732526578014,34.0000474518836,0.0226878814987613,0.885215520861304,0.0735906525696513
Q3THG9,Aarsd1,69684,Mutant-Control,-0.068226763684959,0.953809618388076,0.00746306851257262,-2.84533730540599,0.0239784448597119,34.0001076963442,0.0279200545543703,0.858605471729768,0.0736913962622504
Q8K0T7,Unc13c,208898,Mutant-Control,-0.199058890354333,0.871118632629998,0.00746821870461725,-2.84506473516538,0.0699663835040162,34.0000148154957,0.0312350707113089,0.84178704391803,0.0736913962622504
P08414,Camk4,12326,Mutant-Control,-0.133141665111441,0.911843622846357,0.0074811624361219,-2.84437917556982,0.0468086907171117,34.0000272460662,0.0274671595680664,0.860805323360695,0.0737139609268592
Q8VHJ5,Mark1,226778,Mutant-Control,0.0512734723121247,1.03617915950457,0.0075314816883089,2.84176187324446,0.0180428461634561,33.992991189892,0.00104976597903471,0.994670321840719,0.0741042088734462
Q9JMC3,Dnaja4,58233,Mutant-Control,0.0761151362505581,1.05417554985507,0.00754229100842008,2.84115647458926,0.0267901950953131,34.0000827625832,0.0250023064714068,0.873008800487984,0.0741051518540365
Q8K135,AU040320,100317,Mutant-Control,-0.11791286380912,0.921519842662311,0.00757009323802599,-2.83969776632575,0.0415230329112403,34.0003087913375,0.00413793396397413,0.978961093058811,0.0742728154998948
P27545,Cers1,93898,Mutant-Control,0.135508421438243,1.09847986184493,0.00759300414156063,2.83850202687229,0.0477394133086311,34.0000056394142,0.0147954137966424,0.924710822041932,0.0743920816532222
Q64430,Atp7a,11977,Mutant-Control,-0.108086775358625,0.927817668327505,0.0076376703041159,-2.83617727406891,0.0381100209591481,34.0000383763203,0.0095458123212427,0.95134471702395,0.0747238550121212
Q08943,Ssrp1,20833,Mutant-Control,0.117013855878323,1.08448782439088,0.00766284295715093,2.83487282750877,0.041276580290606,34.0000335678817,0.0186381209225392,0.904913509312684,0.074864243975442
P70441,Slc9a3r1,26941,Mutant-Control,0.0797951625260689,1.05686797313264,0.00769791034346409,2.83306175257228,0.0281656982780622,34.0001325197656,0.00267098459652154,0.986355954525503,0.0751007698811582
P47743,Grm8,14823,Mutant-Control,-0.0912687549201241,0.938696864271401,0.00774660693813252,-2.83056239273691,0.0322440357274284,33.999724814535,0.00524288239165691,0.973170751508868,0.0754694087198065
Q9QYS2,Grm3,108069,Mutant-Control,-0.0831951749793429,0.943964706258944,0.00778054212440843,-2.82883446520305,0.0294097007098545,33.9984565723244,0.00179183387819788,0.990819495854627,0.075693403480356
P59242,Cgn,70737,Mutant-Control,-0.236445753828715,0.848833939149161,0.00781240194772564,-2.82720436270206,0.0836323531995175,34.0000094506388,0.0868531779508933,0.554492349954761,0.0758966071241829
P23927,Cryab,12955,Mutant-Control,-0.192945327189395,0.874817916643826,0.00783519290562871,-2.82604782522126,0.0682739072804928,34.0000125843869,0.0583087750240277,0.70066413152069,0.0759284303183014
Q99LB2,Dhrs4,28200,Mutant-Control,0.0807112274902471,1.05753926341556,0.00783763181252959,2.82592216418872,0.028561022845234,34.0004144062647,0.00310020987696952,0.984083243919184,0.0759284303183014
P29351,Ptpn6,15170,Mutant-Control,0.159632883610064,1.11700286299967,0.00787329007240931,2.82412156462731,0.0565247918536856,34.0000198460727,0.113412870097135,0.41698540919885,0.0761671992039933
Q6PDH0,Phldb1,102693,Mutant-Control,-0.0790764364152841,0.946663474081329,0.00788457939482839,-2.82355228142168,0.0280060110576272,34.0000508158962,0.0166712165226179,0.914264737568438,0.076169882226296
Q07113,Igf2r,16004,Mutant-Control,0.0603971213341792,1.04275275314706,0.00793023688078335,2.82125507872834,0.0214078910445073,34.0006781869292,0.00201336315638474,0.989628984916361,0.0765041122794678
Q9D4J7,Phf6,70998,Mutant-Control,0.132813247397954,1.09642964982905,0.00796321072486447,2.81960984477964,0.0471034131349239,33.9999433947673,0.00469990469359242,0.97576210657952,0.0767152208689242
Q8BK03,Miga2,108958,Mutant-Control,-0.114427629372346,0.923748723417295,0.0079970960369452,-2.81792137988446,0.0406071050062575,34.0000383378177,0.0243362112698194,0.874345201094877,0.0769269769129438
Q00993,Axl,26362,Mutant-Control,0.167568417023341,1.12316385771413,0.00800743434687285,2.8174088538222,0.0594760738385598,33.9998171707047,0.00591128692507315,0.969467234201394,0.0769269769129438
O08997,Atox1,11927,Mutant-Control,0.106230197075888,1.07641186384787,0.00802781809977447,2.81639683193176,0.0377184762713375,34.0000224123403,0.00913535734259985,0.952780465375353,0.0770158360556727
Q9D0B0,Srsf9,108014,Mutant-Control,0.144901709483587,1.10565532268444,0.00804385846184705,2.81560323908556,0.0514638239763668,33.999970117982,0.00699096121245891,0.96384421152081,0.0770628379232632
Q8BUV6,Lsm11,72290,Mutant-Control,-0.127538646256693,0.915391850868415,0.00809009666179443,-2.81332188175626,0.0453338265641594,34.0002064015218,0.00544008809049351,0.971819354243827,0.0773986149510817
Q9D819,Ppa1,67895,Mutant-Control,0.0792078845562694,1.05643784136674,0.00811866868881306,2.81191996232424,0.0281686127690487,34.00001699815,0.00741861728753035,0.961531884249894,0.0775646841443645
P26049,Gabra3,14396,Mutant-Control,0.121442495977581,1.08782199083931,0.00817387342341788,2.80922228929409,0.0432299346478905,34.0000431253577,0.00886116997754183,0.953963456044077,0.0779774306020903
Q8BTG7,Ndrg4,234593,Mutant-Control,0.129413049642913,1.09384858609683,0.00818441732212195,2.80870906608264,0.0460756335377263,34.0000314689225,0.0313941628171431,0.836837913341716,0.0779774306020903
Q3UL36,Arglu1,234023,Mutant-Control,0.14012588536032,1.10200126909727,0.00820831960715441,2.80754859406801,0.049910404278091,33.9998707439068,0.00515702198289163,0.973175707535158,0.078097588339322
P37889,Fbln2,14115,Mutant-Control,0.240305962982638,1.18124314981804,0.00824073262239829,2.932111977234,0.0819566117694215,20.0000072962917,0.0882450670702433,0.722863902120359,0.0782982796004519
O55026,Entpd2,12496,Mutant-Control,0.0785028979372111,1.05592172910463,0.00831593013458322,2.80236139382445,0.0280131242566386,33.9994306743526,0.00228014098812652,0.988095880564466,0.078904374130195
Q8K4P8,Hecw1,94253,Mutant-Control,-0.0731672555587455,0.950548895123762,0.00836237744261738,-2.80013756974635,0.0261298788849769,34.0000801468778,0.00853892956560114,0.955349271320935,0.0792131146037598
Q80ZJ1,Rap2a,76108,Mutant-Control,0.0964333230854661,1.06912706244024,0.00837137296159439,2.79971042913483,0.0344440346694234,33.9997681616053,0.00403342351763311,0.978902477789623,0.0792131146037598
O08842,Gfra2,14586,Mutant-Control,0.168367954885546,1.12378648473383,0.00840142164499991,2.79828016923216,0.0601683693923134,34.0000191034889,0.0205352898428295,0.892476769467016,0.079370028823704
P16388,Kcna1,16485,Mutant-Control,-0.192566972152102,0.875047372739627,0.00841090517966966,-2.79783020842045,0.0688272546248681,34.0000101323112,0.0175751884065716,0.907946323965376,0.079370028823704
P40336,Vps26a,30930,Mutant-Control,-0.102718562275152,0.931276473444847,0.00844888127898698,-2.79603273645497,0.0367372530857371,34.0000479825977,0.0463687956266649,0.75682150368751,0.0795439766115038
Q9QYB1,Clic4,29876,Mutant-Control,-0.118039081726375,0.921439224635521,0.0084523381248309,-2.79586936384661,0.0422190976634095,34.0000770247858,0.00779090548684154,0.959136266615019,0.0795439766115038
P15532,Nme1,18102,Mutant-Control,0.0963388257673863,1.06905703632346,0.00848672730386998,2.79424909156827,0.0344775367586561,34.0000498377314,0.0144301224381592,0.924225402884666,0.0797590934250932
Q8K1M6,Dnm1l,74006,Mutant-Control,0.0507949179162353,1.03583550693428,0.00850555791868769,2.79336364609076,0.0181841408251022,34.0001983016941,0.0148253367571776,0.922100715214764,0.0798276039668423
Q07079,Igfbp5,16011,Mutant-Control,0.256244561329649,1.19436563518965,0.00855214487901163,2.79118370231134,0.0918049790551073,34.0000062117899,0.0767517096274135,0.596080264240324,0.0801560787643949
O70492,Snx3,54198,Mutant-Control,-0.15440761151283,0.898501232905843,0.00857827950336915,-2.7899650132236,0.0553439239492194,34.0000221845316,0.0252247246484918,0.867134331613583,0.0802922318332942
Q8BGR6,Arl15,218639,Mutant-Control,0.132378758437034,1.09609949353299,0.008636469285306,2.78726440559032,0.0474941516748561,33.9999676202578,0.0124802871616568,0.93413539411086,0.0807276460087319
Q8BX57,Pxk,218699,Mutant-Control,-0.211339392460249,0.863734970772946,0.008668304319024,-2.90949241485386,0.0726378908504094,20.0000129329083,0.0703432904045804,0.775636614445363,0.0809158717607139
O35526,Stx1a,20907,Mutant-Control,-0.103645934868243,0.930678035981202,0.00876826480308878,-2.78120868813723,0.0372665076555839,34.0001038658742,0.00510758977437517,0.972927228935995,0.0817386625915971
Q6Q899,Ddx58,230073,Mutant-Control,0.0776699218121904,1.05531224220901,0.00878815757043746,2.78030226323426,0.0279357833999814,34.0000804602119,0.0388507519678934,0.793937360078736,0.0818138437613942
Q641P0,Actr3b,242894,Mutant-Control,-0.0738261168680126,0.950114890094027,0.00883049364928087,-2.778378612557,0.0265716546097614,34.0002197328501,0.00571303845622751,0.969656326983182,0.0819906521858239
Q8BX90,Fndc3a,319448,Mutant-Control,0.121966541133988,1.0882172035333,0.00883085671222189,2.77836308669778,0.0438987048589646,34.0000328157221,0.0117864570021439,0.937397866795517,0.0819906521858239
P06745,Gpi1,14751,Mutant-Control,0.0499334878192395,1.03521719640172,0.00890147491278388,2.77517366758791,0.0179929236149895,34.0002398046001,0.00335171919271435,0.982156865427593,0.0825303718173293
Q9CQ06,Mrpl24,67707,Mutant-Control,-0.151509552467251,0.900307939553052,0.00891285062130186,-2.77466356471212,0.0546046570813606,33.9999770351012,0.00404056915855916,0.97848180996078,0.0825303718173293
Q9R1E6,Enpp2,18606,Mutant-Control,0.131497029354369,1.09542979723673,0.00900647957606733,2.77047713057453,0.0474636761672527,34.0000276947107,0.0277783701618341,0.851617911874261,0.0832499530722281
O70585,Dtnb,13528,Mutant-Control,0.086895322537953,1.06208212232638,0.00901463276725442,2.77011435604124,0.0313688575160972,34.0000613169303,0.0321710947963173,0.828108539720315,0.0832499530722281
P56481,Cckbr,12426,Mutant-Control,-0.209409853339959,0.864890949946174,0.00903702454513926,-2.76912036800582,0.075623239697148,33.9999995665968,0.0209189968096259,0.888148698395922,0.0833454650383043
Q91VX9,Tmem168,101118,Mutant-Control,-0.202551777540578,0.869012131495948,0.00907224158784227,-3.79010395578617,0.0534422749094659,6.00001362759076,0.024918699273126,0.977448965098205,0.0835313223850788
Q8CFE2,Hpf1,72612,Mutant-Control,0.0999985312797387,1.07177237142933,0.00908132925163788,2.76715940476819,0.0361376114102526,34.0000793601707,0.00689330345758282,0.963090097447916,0.0835313223850788
O54965,Rnf13,24017,Mutant-Control,-0.102269091515256,0.931566657262988,0.00916136573028594,-2.76364056668321,0.0370052070982567,33.9999894690842,0.00644427451863253,0.96540647870006,0.0841555999420822
Q6IQX7,Chpf,74241,Mutant-Control,-0.105755833187952,0.929317941998097,0.00920369800306257,-2.76179024293815,0.0382924928706543,34.0000925849128,0.0081172885134579,0.956367162445377,0.084419040752474
Q8K0C9,Gmds,218138,Mutant-Control,0.0699957182259343,1.04971356817394,0.00921445363136011,2.76132157979447,0.0253486297061947,34.0000784955098,0.00910675825670183,0.951031850655078,0.084419040752474
Q62189,Snrpa,53607,Mutant-Control,0.11625813597489,1.08391989118757,0.00924536186520212,2.75997924725844,0.0421228297605399,33.9997051116201,0.00242994441804814,0.98692117998053,0.0844376788991697
Q9Z2L6,Minpp1,17330,Mutant-Control,0.0834181349630407,1.05952537144145,0.00926091955170451,2.75930226986367,0.0302316045161526,34.0001111333253,0.0102621882174184,0.944738168279027,0.0844376788991697
Q91VW5,Golga4,54214,Mutant-Control,0.0991056796222161,1.0711092807138,0.00926819619269539,2.75898712701125,0.0359210373444457,34.000069207279,0.00755944420015976,0.959283131058729,0.0844376788991697
P01633,Igkv6-17,667865,Mutant-Control,0.30429430552571,1.23481447970745,0.00927117929519998,2.75885821983855,0.110297188647671,34.0000066768115,0.0407304937368184,0.780595885927012,0.0844376788991697
Q9CR67,Tmem33,67878,Mutant-Control,0.116732528005327,1.08427636812393,0.00927752435497599,2.75858357095999,0.0423161107875026,33.9999951867326,0.010669309933031,0.942515878708233,0.0844376788991697
O88735,Map7,17761,Mutant-Control,-0.0598283479251105,0.95937825950582,0.00930847740076837,-2.75724517813697,0.0216985955400367,34.0001611741156,0.00106046243363408,0.994280891005739,0.0846080659410181
Q8K1N4,Spats2,72572,Mutant-Control,0.0858521776490839,1.06131445829107,0.00937716186643571,2.75429748259237,0.0311702632673792,33.9989959669292,0.00243630643875173,0.986832780379792,0.0851205100133016
P45878,Fkbp2,14227,Mutant-Control,0.101297056076766,1.0727374745681,0.00942063052186141,2.75243266489872,0.0368027372180941,34.0002564853655,0.00508329029202545,0.972489697750153,0.0853135093804351
