Protein,Symbol,Label,log2FC,SE,DF,pvalue,adj.pvalue
P20152,Vim,Mutant-Control,0.0827548566545246,0.0253756303829109,28.7417913666038,0.00285640134678969,0.0324004159271624
P20352,F3,Mutant-Control,0.0919628082151198,0.0367485332397526,30.7417463365824,0.0178652567980954,0.111796884636447
P20357,Map2,Mutant-Control,0.0724033637879746,0.0316553407333524,28.7417556332595,0.0297351816314903,0.155613373639367
P20443,Sag,Mutant-Control,-0.020225287455217,0.0251491408043646,16.7418138047081,0.432545489003029,0.712331759038038
P20444,Prkca,Mutant-Control,-0.0429502553598604,0.0327207421398319,28.7417516647698,0.199692874687031,0.480330865921616
P20852,Cyp2a5,Mutant-Control,1.30334468586705,0.118544555291621,28.7417055321581,8.23109375601403e-12,4.10143643156813e-09
P20917,Mag,Mutant-Control,-0.193033773899317,0.0613596494958237,28.7417151463137,0.00383195980710082,0.0401981227283238
P20918,Plg,Mutant-Control,0.0934062409302372,0.0437722265270437,28.7417284768624,0.0415123610913602,0.192803083204613
P21107,Tpm3,Mutant-Control,-0.0170060646680107,0.0639677617999908,28.7417139364391,0.792249691062852,0.91943667357419
P21126,Ubl4a,Mutant-Control,-0.0374675513685846,0.0355906982343109,28.7417437761712,0.301233171024247,0.593448913037319
P21237,Bdnf,Mutant-Control,0.517972555260923,0.229706138078735,28.7417037169221,0.0319306595374063,0.163665158657565
P21271,Myo5b,Mutant-Control,-0.472104620972985,0.266054979864813,10.5653168729694,0.104762216462362,0.338499871255877
P21278,Gna11,Mutant-Control,0.0622723783345837,0.0304241438344031,28.7417604330128,0.0499184042663179,0.215090048277847
P21279,Gnaq,Mutant-Control,0.0369235601508297,0.0582657196405107,28.7417169694112,0.531281381032376,0.782728387345693
P21447,Abcb1a,Mutant-Control,0.14280519404385,0.0450181227935971,30.7417308513283,0.0034211846171312,0.03686026006442
P21460,Cst3,Mutant-Control,0.0715215129024247,0.0343829775972067,28.7417478460968,0.0465383747983767,0.207180410078798
P21550,Eno3,Mutant-Control,0.102285215887371,0.030083355203566,28.7417627590044,0.00199569482614705,0.0250395091856148
P21614,Gc,Mutant-Control,-0.0496863923609477,0.0502581238243937,28.7417214484271,0.331097314541437,0.62374692580099
P21619,Lmnb2,Mutant-Control,-0.166513860850323,0.0327620763087005,28.7417511750894,2.06482484292503e-05,0.000799114816987071
P21661,Pcsk2,Mutant-Control,0.07534555849806,0.0606906952866988,28.7417154415152,0.22446949761789,0.508828260564734
P21836,Ache,Mutant-Control,-0.0139212560468006,0.0306272715669038,28.7417592701117,0.652856132959251,0.853086220244167
P21956,Mfge8,Mutant-Control,0.158195328138194,0.0407967353989194,28.7417335736058,0.000563534900638857,0.010511281996943
P21958,Tap1,Mutant-Control,0.128837357530875,0.093505129986646,28.7417077619902,0.17887940274551,0.454926253573707
P21981,Tgm2,Mutant-Control,0.137066476180591,0.0322094511358057,28.7417542994814,0.00020209685028318,0.00479533206658321
P21995,Emb,Mutant-Control,-0.0653955590498141,0.0549727153745017,30.7417211328729,0.243310464703688,0.531080663883895
P22005,Penk,Mutant-Control,0.10130452835894,0.079984069945114,28.7417096121551,0.215481631313943,0.499710774868825
P22315,Fech,Mutant-Control,0.0493884325188911,0.0439326519448263,28.741727791658,0.270236223578124,0.556424998725205
P22437,Ptgs1,Mutant-Control,0.0776293948871977,0.0627231763892329,30.7417166636979,0.225215416813878,0.509757331402403
P22599,Serpina1b,Mutant-Control,0.335361336885047,0.0546071045505448,28.7417135446416,1.1226181405696e-06,7.45652423199013e-05
P22682,Cbl,Mutant-Control,0.0386380286126781,0.0332947853878121,30.7417569547775,0.25478528385917,0.542050058005968
P22723,Gabrg2,Mutant-Control,0.012310384149039,0.0792432620033412,28.7417099689041,0.877631856978622,0.956811702246793
P22892,Ap1g1,Mutant-Control,-0.0834046993368559,0.0206581834459428,28.7418544056507,0.000366067806966806,0.00758509330240442
P22907,Hmbs,Mutant-Control,0.0344043355842217,0.0401793333736163,28.7417342629549,0.398931573459965,0.68059345963725
P22933,Gabrd,Mutant-Control,-0.0541565723565065,0.0721581218635075,28.7417113702325,0.459038433147962,0.731958984213326
P22935,Crabp2,Mutant-Control,0.0649967567861512,0.047225701051555,28.7417242071639,0.179357612697574,0.455186199047551
P23116,Eif3a,Mutant-Control,0.00720078301494756,0.0353275014118442,28.7417427706705,0.839923179166356,0.941540740232568
P23198,Cbx3,Mutant-Control,0.00115236179021539,0.0460782769631545,28.7417254523703,0.980220785662628,0.995629778690619
P23242,Gja1,Mutant-Control,-0.00930216196013237,0.0555617059387641,30.7417207336187,0.868135779900545,0.952818628160195
P23249,Mov10,Mutant-Control,-0.0103702951383605,0.0758575634874547,28.7417107256481,0.892215143735839,0.96204586757898
P23298,Prkch,Mutant-Control,0.0760411676663637,0.0524079208950475,28.7417208049575,0.157621898069652,0.425365710225877
P23475,Xrcc6,Mutant-Control,0.0410880147826435,0.103587524932199,27.9508743779002,0.694637695772841,0.872439098659014
P23492,Pnp,Mutant-Control,0.0331480639848463,0.0247322295807372,28.7417976732154,0.190654387940579,0.468203771779608
P23506,Pcmt1,Mutant-Control,-0.089689926549135,0.0226127346059138,28.7418228047989,0.000443668718918113,0.0086695601769545
P23591,Tsta3,Mutant-Control,-0.0437326606591714,0.0324187640306643,28.7417530906578,0.187872214249391,0.464421178810685
P23780,Glb1,Mutant-Control,0.103194200091949,0.0298777171787238,30.741771956492,0.0016330747307674,0.0218243856740103
P23818,Gria1,Mutant-Control,-0.111820964255725,0.0263611041566269,30.7417953474138,0.00018817342298409,0.00455797846783685
P23819,Gria2,Mutant-Control,-0.0536586335962659,0.0207762351686987,28.741850864265,0.0151681426055463,0.100012252189311
P23927,Cryab,Mutant-Control,-0.192945327189392,0.044035198152019,28.7417311973684,0.000143033142586303,0.00364160292949653
P23953,Ces1c,Mutant-Control,0.208691822559862,0.0502035443612551,28.7417221070873,0.000264498448135682,0.00587624577768955
P24270,Cat,Mutant-Control,-0.0249825173657974,0.0355184232219251,28.7417235971349,0.487485645223401,0.751729185010385
P24288,Bcat1,Mutant-Control,0.0526850519707591,0.0254534121363451,30.7418034321681,0.0469570581127959,0.208484985150377
P24369,Ppib,Mutant-Control,0.118952286847897,0.0369280358877575,30.741745866961,0.00301291998225069,0.0337369659649772
P24472,Gsta4,Mutant-Control,-0.0839643403448626,0.0420662867142647,30.7417352598343,0.0548581522948081,0.228199445681921
P24527,Lta4h,Mutant-Control,-0.0082680627615351,0.0329467728911174,28.7417509500837,0.803636559542565,0.924439482404403
P24529,Th,Mutant-Control,0.0712199883823593,0.0337025795722929,28.7417489198511,0.0433892042265362,0.197702866547561
P24547,Impdh2,Mutant-Control,-0.0522297724587231,0.0191230717577437,28.7418982719652,0.0106669601272322,0.0800997996206371
P24549,Aldh1a1,Mutant-Control,0.0721193528185436,0.0281288677994627,28.7417743807122,0.0158495071627679,0.10304395337136
P24638,Acp2,Mutant-Control,-0.0980480320672049,0.0428068090103289,28.7417303653154,0.0295228742869457,0.154824012069092
P24668,M6pr,Mutant-Control,-0.0660082098135805,0.0463305215952752,28.7417256729516,0.165005658470786,0.436510987293213
P24788,Cdk11b,Mutant-Control,0.139312178749581,0.0822786638261458,28.74170940523,0.101235469858468,0.331091719518365
P25233,Ndn,Mutant-Control,-0.0445379207767527,0.0456302680295211,28.7417262348686,0.337178480286299,0.627343178415478
P25444,Rps2,Mutant-Control,0.0368581604263274,0.0251506053292129,30.7418063770166,0.152939169512125,0.417452632540422
P25785,Timp2,Mutant-Control,0.280006063968614,0.0734792886063554,28.7417113164029,0.000674527521027925,0.0120345370503601
P25799,Nfkb1,Mutant-Control,0.0345219790419593,0.0439914557456791,28.7417290005728,0.439025029088188,0.716929606181282
P25911,Lyn,Mutant-Control,0.0351099664371729,0.0278494619321519,30.7417841167286,0.216899833804171,0.500289477461023
P25976,Ubtf,Mutant-Control,0.0210953101628351,0.0425719552342252,30.7417344397151,0.623756016526847,0.835667749431781
P26039,Tln1,Mutant-Control,0.0068138929047831,0.0137868000263112,28.7423325685185,0.624897895565064,0.836282679054682
P26040,Ezr,Mutant-Control,0.011918006247396,0.0334802889884444,28.7417496938886,0.724462038044447,0.884336653924814
P26041,Msn,Mutant-Control,0.0505141114111196,0.0347724333202226,28.7417458070344,0.157136556660199,0.424713141906838
P26043,Rdx,Mutant-Control,-0.00703469628938465,0.019634184313064,28.7418755553511,0.722745855432841,0.883454544857105
P26048,Gabra2,Mutant-Control,0.0643763121554242,0.0534646377563591,28.7417193442229,0.238377081459353,0.52640662243129
P26049,Gabra3,Mutant-Control,0.121442495977576,0.0463146783695101,30.7417292111215,0.01346815717292,0.0923884781421181
P26151,Fcgr1,Mutant-Control,0.00294154209278163,0.0593677324482667,15.7417128513572,0.961105951852621,0.988016928577696
P26231,Ctnna1,Mutant-Control,0.0134789299575122,0.0209120871151121,28.7418496604977,0.524328872294757,0.778716115884906
P26339,Chga,Mutant-Control,0.279485074084553,0.0938009145641782,28.7417083760272,0.00581715783248181,0.0537344234554273
P26350,Ptma,Mutant-Control,0.00762664582817314,0.0968513866416134,30.7417082664057,0.937745119160432,0.979151317357158
P26369,U2af2,Mutant-Control,0.0899365608512969,0.0419059380315756,30.7417355271073,0.0398676349634727,0.188298321939868
P26443,Glud1,Mutant-Control,-0.00383857179621434,0.0530862402945162,28.7417206239727,0.942857464639712,0.981404606584099
P26450,Pik3r1,Mutant-Control,0.0183899435444522,0.0211401883915211,28.7418443482558,0.391559900010509,0.675145219611833
P26516,Psmd7,Mutant-Control,0.0237363226761588,0.0296634241510778,28.7417649853313,0.430166377359753,0.710412721106486
P26638,Sars,Mutant-Control,0.0414600646674971,0.0246486910229378,28.7417990925959,0.103396608699715,0.335642039222528
P26645,Marcks,Mutant-Control,-0.102951797426993,0.059131579251135,28.7417173975762,0.0923689136764091,0.314878183989024
P26883,Fkbp1a,Mutant-Control,-0.0151941535423512,0.0319581510183323,28.7417544722786,0.638067591378208,0.842863002737053
P27048,Snrpb,Mutant-Control,0.0174865355062598,0.037869472774229,28.741745209321,0.64773086094826,0.850154371773295
P27090,Tgfb2,Mutant-Control,0.115656181232903,0.0790698763994139,28.7417103298637,0.154397257011964,0.419374545825523
P27545,Cers1,Mutant-Control,0.135508421438241,0.0499661864842262,28.7417194318194,0.0111699644767826,0.0827819808205372
P27546,Map4,Mutant-Control,0.0754839731171003,0.024554944936989,28.7417972775732,0.00459361605793904,0.0454539937874933
P27573,Mpz,Mutant-Control,-1.96262548650882,0.128778604168986,28.7416992348608,2.64964166013464e-15,2.64055717444275e-12
P27600,Gna12,Mutant-Control,-0.0870681025991872,0.03762784686937,30.7417441518732,0.0275282455720775,0.148635480735923
P27601,Gna13,Mutant-Control,0.0396240154444008,0.0275042636935698,30.7417865290468,0.159791824374944,0.429063805557971
P27612,Plaa,Mutant-Control,0.0522696710258306,0.0230307401569378,28.7418168457927,0.0309191395838389,0.159890228122209
P27641,Xrcc5,Mutant-Control,-0.0370213567697962,0.0300113450933648,28.7417634356522,0.227353078143582,0.51244428857177
P27659,Rpl3,Mutant-Control,0.0627769854998337,0.0195792621465571,28.7418756232675,0.00328691562114456,0.0359396918073738
P27661,H2afx,Mutant-Control,0.000319255517461564,0.136956421135187,28.7417049711355,0.998156178542853,0.999671728851369
P27671,Rasgrf1,Mutant-Control,-0.109352344684012,0.0346662298055594,28.7417460020844,0.00375033851877623,0.0395201835452915
P27773,Pdia3,Mutant-Control,0.24454724947568,0.0370788708583288,30.7417455028831,2.37698299964179e-07,2.24078829804069e-05
P27808,Mgat1,Mutant-Control,-0.28739720153874,0.0817958069220271,30.7417106773149,0.00139242738886405,0.0195444134098906
P27870,Vav1,Mutant-Control,0.0562933508439087,0.06214285336512,28.7417147783921,0.372536425456125,0.660939497452169
P28028,Braf,Mutant-Control,-0.0495892964801693,0.0262456200679647,28.7417851820336,0.0689603628254359,0.262591425256682
P28063,Psmb8,Mutant-Control,0.0872083535770227,0.063414484221003,30.7417163614633,0.17900562611329,0.45508135851542
P28184,Mt3,Mutant-Control,-0.207336603640564,0.114774795076883,30.7417065753602,0.0806445450824717,0.291037944384544
P28271,Aco1,Mutant-Control,0.0124756246944772,0.0246081111413851,28.742019472367,0.616042132360098,0.829531956231466
P28352,Apex1,Mutant-Control,0.0691047594998632,0.0203558630426703,28.7418618071071,0.00202297790445341,0.0252456061922486
P28474,Adh5,Mutant-Control,0.0179798608438018,0.0302826383644943,28.7417609839897,0.557333766554394,0.797989679769809
P28571,Slc6a9,Mutant-Control,-0.0521995583804324,0.0700353619587851,30.7417137650773,0.461732302392914,0.733055198337043
P28650,Adssl1,Mutant-Control,0.00974991026549428,0.0184595016463918,28.7419139465207,0.601430201030879,0.825086030400441
P28651,Car8,Mutant-Control,-0.22269056679836,0.0384238722122004,28.7417373881609,2.8867158040412e-06,0.000162401043943479
P28652,Camk2b,Mutant-Control,0.00728187595279665,0.0529945434210189,30.7417226312242,0.891604315808798,0.96204586757898
P28654,Dcn,Mutant-Control,-0.428842664445171,0.0759859782262437,28.7417109351377,4.38230360096743e-06,0.000221528622611223
P28656,Nap1l1,Mutant-Control,0.0424248452478223,0.0314545139902857,28.7417563987103,0.187943370970456,0.464432502971981
P28658,Atxn10,Mutant-Control,0.032451475675901,0.0185132457899357,28.7419103783811,0.0902849028691176,0.311573531035869
P28659,Celf1,Mutant-Control,-0.0291145452516338,0.0785412358512768,28.7417105285456,0.713585677607931,0.87926079136584
P28660,Nckap1,Mutant-Control,-0.0011916351071017,0.0167521984454003,30.7420171289791,0.943752608591609,0.981677905789018
P28661,Sept4,Mutant-Control,-0.0978499997642469,0.0229352743689466,28.7418234491655,0.000196169892970792,0.00471890059780774
P28663,Napb,Mutant-Control,0.0191301820062112,0.0324665375625085,28.7417539657571,0.560311879832051,0.800150598507347
P28665,Mug1,Mutant-Control,0.388782191856485,0.0642999302783115,28.7417143813427,1.45388248955825e-06,9.13719301545797e-05
P28667,Marcksl1,Mutant-Control,-0.182436896601494,0.0605389585634566,28.74171534839,0.00534531190720292,0.0506708557573658
P28704,Rxrb,Mutant-Control,0.0623319493816099,0.0366832632326191,28.7417356443082,0.100083348872766,0.328710659951231
P28738,Kif5c,Mutant-Control,-0.0910866575481901,0.0215678530570248,28.7418367039058,0.000220698136314369,0.00514913110009712
P28740,Kif2a,Mutant-Control,0.00171169588035847,0.0151653511629581,30.7421467470835,0.91086835597413,0.970839715661931
P28741,Kif3a,Mutant-Control,0.0193159751252988,0.0201017677333768,28.7418667507096,0.344612500250751,0.635311407938211
P28798,Grn,Mutant-Control,0.636968639346534,0.0712572570393664,30.7417133758501,4.68577576647463e-10,1.0895990582309e-07
P28828,Ptprm,Mutant-Control,-0.0641602787687484,0.0557016425654595,15.7417139005204,0.266574391382672,0.553129968556074
P28843,Dpp4,Mutant-Control,0.135104325759517,0.0648755415616392,28.7417139280798,0.046305736392699,0.206801264374314
P28867,Prkcd,Mutant-Control,-0.0871823508578852,0.0208318248695137,28.7418512472661,0.000244959946701796,0.00552114559632076
P29268,Ccn2,Mutant-Control,0.10164155194164,0.0741337910239884,28.7417111555315,0.180969102202181,0.456907852620094
P29341,Pabpc1,Mutant-Control,-0.021438613861054,0.0241565447204912,28.7418047596019,0.382183547320208,0.66716424566307
P29351,Ptpn6,Mutant-Control,0.159632883610064,0.0496519222580483,28.7417226183802,0.00321445111497571,0.0355372598701594
P29387,Gnb4,Mutant-Control,-0.140097288679881,0.0690573111441006,30.7417141275255,0.0512257193457922,0.218563069208713
P29391,Ftl1,Mutant-Control,0.100718662962121,0.0473535079440335,28.7417277659163,0.0421347271978834,0.194656858895652
P29416,Hexa,Mutant-Control,0.158911489093617,0.0276100038245408,28.7417752614887,3.22215058859818e-06,0.000175607207078601
P29452,Casp1,Mutant-Control,0.0370517604948799,0.0617429887185503,28.7417149166694,0.553144252050327,0.795695188572865
P29533,Vcam1,Mutant-Control,0.211258001266605,0.0290951756636599,28.7417651146378,5.6746107048983e-08,6.82518694437423e-06
P29595,Nedd8,Mutant-Control,0.0850794969801868,0.0516909723948249,28.7417212343015,0.110672454370456,0.346012065336081
P29699,Ahsg,Mutant-Control,0.0889490643396099,0.0470634452867361,28.7417233149156,0.0688840500719862,0.262538776207053
P29758,Oat,Mutant-Control,0.0212620837507036,0.0339190089682316,28.7417472609478,0.535706369168381,0.785267415700489
P29788,Vtn,Mutant-Control,0.142940346452052,0.03428577898359,28.7417472867298,0.000255866655953343,0.00572091599977731
P30275,Ckmt1,Mutant-Control,-0.078749424013608,0.0345920097631954,28.7417472918047,0.0304480777546277,0.158255321690809
P30412,Ppic,Mutant-Control,0.00508629693305056,0.102193086182317,15.7417055168623,0.960930574537384,0.988016928577696
P30416,Fkbp4,Mutant-Control,0.0185837525691195,0.0254911117424028,28.7417907234845,0.471883401935789,0.740425362883277
P30678,Gna15,Mutant-Control,-0.000495176354659621,0.048365428488574,28.7417235272775,0.991901953451751,0.99767408481316
P30875,Sstr2,Mutant-Control,-0.103049329856292,0.0428120592470909,28.7417295958556,0.0227377763657481,0.130873537893943
