protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
Q80YV3,Trrap,100683,Mutant-Control,-0.0318073615119641,0.978194079876987,0.602778276119551,0.841939812900115,1,-0.525308037695622,0.0605499235296188,33.9999936650721,FALSE
Q80YV4,Pank4,269614,Mutant-Control,-0.0321822654508983,0.977939915859238,0.239577164183968,0.562664666883591,1,-1.19702342334416,0.026885242864329,34.0001652223897,FALSE
Q80YW0,Cyth4,72318,Mutant-Control,0.125304131880815,1.09073764482199,0.119346818362196,0.399830518636731,1,1.62720239786629,0.0770058672757141,20.0000085198607,FALSE
Q80YX1,Tnc,21923,Mutant-Control,0.129379926634111,1.09382347258399,0.0394390157207138,0.211072682260295,1,2.14203151247856,0.060400571084225,34.0000175803172,FALSE
Q80Z10,Astn2,56079,Mutant-Control,-0.19787385077459,0.871834469392745,0.00225424194672311,0.0343748418420475,1,-3.3035878775523,0.059896651189191,34.0000181767335,FALSE
Q80Z24,Negr1,320840,Mutant-Control,-0.103261974524335,0.93092576055551,0.00040041634842151,0.0102030260890023,1,-3.92574044494476,0.0263038211446982,34.0004258889835,FALSE
Q80Z38,Shank2,210274,Mutant-Control,-0.122181333170127,0.918797392048029,0.00294120566766879,0.0414574864120328,1,-3.20416642235721,0.0381320184612141,34.0000252662292,FALSE
Q80ZD3,Slc26a11,268512,Mutant-Control,0.0282242296504114,1.01975616541707,0.743611417861711,0.906412038597841,1,0.331639689130854,0.085105102240266,19.9999737535704,FALSE
Q80ZD8,Amigo1,229715,Mutant-Control,-0.0154291948645584,0.989362282089749,0.710946909205786,0.892275046696722,1,-0.373701117271731,0.0412875267197537,34.0001338642607,FALSE
Q80ZE5,Paqr8,74229,Mutant-Control,0.119042301045432,1.08601369870064,0.14231740743295,0.437362589673883,1,1.52742097131437,0.0779367988793517,20.0000025315087,FALSE
Q80ZF8,Adgrb3,210933,Mutant-Control,-0.078408129429949,0.947102103419314,0.0525687980310999,0.251900737291723,1,-2.00865516784173,0.0390351368842454,34.0000625510156,FALSE
