protein,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,isSingular
A2RT62,Mutant-Control,-0.093561093164678,0.937206527068993,0.00614924550352592,-2.92152174608809,0.0320247806780682,34.0000901378148,FALSE
A2RTL5,Mutant-Control,0.0151902946026619,1.01058473601291,0.731684577023561,0.345718168411951,0.0439383752159689,34.0000419987949,FALSE
A2TJV2,Mutant-Control,-0.118571001965473,0.921099553523974,0.135234348080811,-1.5337772416249,0.077306533665774,30.9808622054657,FALSE
A3KFM7,Mutant-Control,0.0886786976904981,1.06339581785998,0.0483694397935599,2.10255756099881,0.0421765850007796,20.0000174427104,FALSE
A3KFX0,Mutant-Control,-0.0474259846456295,0.967661263311615,0.284192160113652,-1.08812765996127,0.0435849453981508,34.0000323114691,FALSE
A3KGB4,Mutant-Control,0.0467165966888281,1.03291146241288,0.251925890393916,1.16550596350259,0.0400826749512589,34.0000414855647,FALSE
A3KGF9,Mutant-Control,0.119750896010833,1.08654723685887,0.0143456771860809,2.58080950127129,0.0464005173383951,33.9999980496112,FALSE
A3KGS3,Mutant-Control,-0.0302565558287284,0.979246141831205,0.623487911640935,-0.495423954026717,0.0610720486621783,34.0000170657078,FALSE
A3KMP2,Mutant-Control,0.0383185687859795,1.02691627926151,0.422211424923549,0.812404828289902,0.0471668402890212,34.0000299914756,FALSE
A4Q9F0,Mutant-Control,-0.0737776221941893,0.95014682774182,0.0519775604258329,-2.01399398175733,0.0366324938716122,33.9999516709831,FALSE
A6H5Y3,Mutant-Control,-0.0494412790197778,0.966310485205255,0.2247087642494,-1.23660296600062,0.0399815303530114,34.0000371174899,FALSE
A6H5Z3,Mutant-Control,-0.0123603083901322,0.991469083638891,0.565388258673867,-0.580525793878537,0.0212915748455415,34.0001488788498,FALSE
A6H603,Mutant-Control,0.292589931106667,1.22483713704462,0.0491441769193628,2.45962951180263,0.118956911885576,5.99999893145814,FALSE
A6H611,Mutant-Control,-0.0744745222831273,0.949687966037342,0.281848658459559,-1.09352976076628,0.0681047054731643,33.9998244305189,FALSE
A6H619,Mutant-Control,-0.101016482109208,0.932375834422599,0.366565018733063,-0.915136557491382,0.110384052830454,34.0000024681118,FALSE
A6H630,Mutant-Control,-0.0917418057032489,0.938389121830138,0.0139159758902225,-2.59340250300992,0.0353750740954297,34.0000936190325,FALSE
A6H687,Mutant-Control,-0.115727368454804,0.922916883274063,0.00526784702803131,-2.981756315557,0.038811812974457,34.0001059937159,FALSE
A6H6A9,Mutant-Control,0.0572141249075582,1.04045467942527,0.0365242834219512,2.17691625282145,0.0262821892359912,34.0000944460193,FALSE
A6H8H2,Mutant-Control,-0.0496826202002616,0.966148849515531,0.635933050898259,-0.477682403347257,0.104007641588054,34.000005091052,FALSE
A6H8H5,Mutant-Control,-0.0147025399923484,0.9898607283908,0.741963132527638,-0.331952145671398,0.044291143118269,34.0000297007453,FALSE
A6X8Z5,Mutant-Control,-0.0239970633495146,0.98350407597725,0.823442582804757,-0.226068324480635,0.106149605012754,20.000007164986,FALSE
A6X919,Mutant-Control,0.053854373596149,1.0380344855022,0.182138274041692,1.36205077625316,0.0395391820445167,34.0000672129068,FALSE
A6X935,Mutant-Control,0.0277288893108834,1.01940609860126,0.708468668736866,0.377064927703792,0.0735387655376586,34.0000112494533,FALSE
A7E1Z1,Mutant-Control,-0.200506733924903,0.870244843772938,0.147784458504194,-1.66097389162244,0.12071636702793,6.00001175365263,FALSE
A8C756,Mutant-Control,-0.0784220421672437,0.947092970013537,0.184608359321812,-1.35418986695143,0.0579106697525275,34.0000190535276,FALSE
A8Y5H7,Mutant-Control,-0.0872403067269572,0.941321657481859,0.00555785973003642,-2.96095234324165,0.0294635970504836,34.000067067877,FALSE
A9Z1V5,Mutant-Control,-0.267717040729401,0.830632922161253,0.00612354567070859,-3.06406124186606,0.0873732669149776,20.0000003603754,FALSE
B0F2B4,Mutant-Control,-0.183264233316037,0.880708055403629,5.37410886444697e-06,-5.38849390850446,0.0340102886683788,33.999967366595,FALSE
B0V2N1,Mutant-Control,-0.0406631464689298,0.972207961420346,0.204833828622125,-1.29269130785469,0.03145619238085,34.0000868821416,FALSE
B1AR13,Mutant-Control,-0.00128996185493158,0.9991062661954,0.972791390970163,-0.0343595226032517,0.0375430668762987,33.9999761909034,FALSE
B1AS29,Mutant-Control,-0.00262198405838809,0.998184229651701,0.954830065145783,-0.0570617166481792,0.0459499680767448,34.0000245198053,FALSE
B1AT66,Mutant-Control,-0.0285705931635833,0.980391177645505,0.712288917838395,-0.371984428598096,0.076805884781946,32.9113417605628,FALSE
B1ATG9,Mutant-Control,-0.0226304900341479,0.984436128244715,0.896176544427112,-0.131567550356972,0.172006623006557,31.0000029154114,TRUE
B1AUE5,Mutant-Control,0.0129967764914438,1.00904937925667,0.681809692299556,0.416041998817488,0.031239097322829,19.9999784156437,FALSE
B1AUH1,Mutant-Control,-0.0192941171035939,0.986715367229444,0.864554539789948,-0.1718752692765,0.112256505457774,34.0000024071074,FALSE
B1AVY7,Mutant-Control,0.0494176560127135,1.03484712338696,0.551778824903792,0.601071611856316,0.0822159207620783,34.0000092676645,FALSE
B1AVZ0,Mutant-Control,-0.00178855363470554,0.998761037239722,0.957771048408041,-0.0533427029463251,0.033529490181726,34.0007723128943,FALSE
B1AWN6,Mutant-Control,-0.00299865529539289,0.997923649141503,0.91591982511793,-0.106362526402606,0.0281927798898112,33.9998894328236,FALSE
B1AXH1,Mutant-Control,-0.0687600703179756,0.953457098295289,0.0743082112922582,-1.84135574996159,0.0373420890120825,34.0000583958562,FALSE
B1AXV0,Mutant-Control,-0.0434779750001475,0.970312945016883,0.259748760285519,-1.14611859190249,0.0379349705234051,34.0000849439324,FALSE
B1AY10,Mutant-Control,0.0850344767118445,1.06071308938809,0.0282222868808371,2.29198970269237,0.037100723712657,34.0000610470708,FALSE
B1AY13,Mutant-Control,0.00693865443941899,1.0048210930129,0.683161600359249,0.411674746356768,0.0168547002234763,34.0001785420048,FALSE
B1AZA5,Mutant-Control,0.117187302719103,1.08461821389751,0.00370531393973993,3.11682993852834,0.0375982344338089,34.0001099087308,FALSE
B1AZI6,Mutant-Control,-0.10167197685374,0.931952301645534,0.0771087860080485,-1.82298656961698,0.0557722029049843,34.0001712148255,FALSE
B1AZP2,Mutant-Control,0.0585392771306239,1.04141080265282,0.0370144826826524,2.17088024171916,0.0269656870082643,34.0000629322001,FALSE
